,class,class_abrv,class_number,review_content,review_month,review_year,student_gpa,student_grade,student_major,student_rank,student_standing,teacher_difficulties,teacher_field,teacher_name,teacher_presentaion,teacher_rating
63,MATH 221,MATH,221,"van eps is a great professor. He isn't the most exciting guy, but then again, business calculus isn't exactly the most exciting course, either. He does a good job presenting the material and making it easy to understand. He is a fair grader on tests, and really wants his students to do well.He has a cool grading policy. Even if you suck on all your tests, he will take your final grade as your grade in the class, if it is higher than your tests grades. He realizes that business majors will never use calculus, and shows this in his grading scale. I have never been a math person, and ended up with a B. Business calc is pretty much a meaningless class, but bus. and econ majors have to take it. Van Eps is a good choice. As long as you put some effort into this class, you will do fine",Dec,2003,3.0,B,Required (Support),1,Sophomore,3.32,  Mathematics,"Van Eps, John",3.15,3.37
64,MATH 221,MATH,221,Definitely one of the best math teachers I have ever had.  He moves through the material at a great pace and will be able to explain anything people need help with.  Homework was due on monday and was really light.  Tests were pretty fair.,Apr,2007,4.0,A,Required (Support),1,Sophomore,3.32,  Mathematics,"Van Eps, John",3.15,3.37
65,MATH 241,MATH,241,"Good teacher. I thought the class was very easy. Just doing everything you learned in 141 and 142 multiple times. Very easy midterms (2) and final. If you do bad on the final he averages it with the highest midterm or something. He gives you full credit for homework if you turn in anything. THe grader marks it up, but it doesn't matter. I got full credit for homework withough receiving higher than an 80% on it.",Dec,2000,4.0,A,Required (Support),1,Sophomore,3.32,  Mathematics,"Van Eps, John",3.15,3.37
66,MATH 241,MATH,241,"Dr. Van Eps is Awesome! he is seriously one of the bast math teachers here at poly. the homework wasnt that bad: he usually assigns some everyday but it isnt due till monday and as long as you turn it in, you get 100%. a grader will mark it up but he just counts it as long as you turn it in. and, you can turn it in a week late and stiil get credit! his midterms are a cinch, and you get to use an 8.5 x 11 piece of paper so its even easier. and, if your midterm grade is lower than your final grade, he wont count the midterms in the overall grade. if you do the work, this calss is an easy A. i recommend Van Eps to anyone who is tired of all the horrible math profs at our school and really wants to learn something for a change.",Mar,2002,4.0,A,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
67,MATH 241,MATH,241,"Van Eps is wonderful.  His tests are cake, usually coming straight from the homework.  He explains the material throughly and assigns meaningful homework.",Apr,2002,4.0,A,Required (Support),1,Sophomore,3.32,  Mathematics,"Van Eps, John",3.15,3.37
68,MATH 241,MATH,241,He is a very good teacher who is willing to help you with any questions you may have.  The tests are straight-forward and are very similar to homework questions.  His handwriting is clear and his illustrations are very well done.  He puts the homework on his website just in case you didn't get in class.  ,Jul,2002,3.0,B,Required (Support),1,Sophomore,3.32,  Mathematics,"Van Eps, John",3.15,3.37
69,MATH 241,MATH,241,"Van Eps is a pretty good math teacher. Compared to other math teachers I've had in college and high school, he's probably one of the best, though definitely not the best. The few times I went in to his office hours he was helpful, and he's always willing to answer questions in class. The only problem I have with his class is that the tests didn't seem to relate much to the homework. I was able to do almost every problem out of the book, but then had quite a bit of trouble on the final. All in all, he's a decent teacher.",Dec,2007,2.0,C,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
70,MATH 241,MATH,241,"Dr. Van Eps teaches you what you need to know.  He knows what he's talking about.  He's always willing to answer questions.  His test are incredibly fair.  If you complete and understand his assigned homework and suggested practice problems for the midterms, you should do fine.  He understands that, with having only 50 minutes to complete a midterm, it's not practical to test on difficult problems.  ",Dec,2007,3.0,B,Required (Support),1,Sophomore,3.32,  Mathematics,"Van Eps, John",3.15,3.37
71,MATH 242,MATH,242,"This teacher really cares. His style is pleasent and he is easy to follow. I think that out of the many math teachers available, this one is the one to take if you want to learn and get a good grade!",Oct,2002,4.0,A,Required (Support),1,Sophomore,3.32,  Mathematics,"Van Eps, John",3.15,3.37
72,MATH 242,MATH,242,"John is a good teacher for the subject. Homework is CR/NC, lousy midterms get dropped, and he selected a textbook different from other professors. He also posts HW online and goes over the difficult problems in class.",May,2003,3.0,B,Required (Support),2,Junior,3.32,  Mathematics,"Van Eps, John",3.15,3.37
73,MATH 242,MATH,242,"Best instructor I've ever had!! Van Epps is great. He teaches at a pace everyone can keep up with and grades homework based on if it is complete. He knows he's teaching difficult stuff, so he spends as much time on each thing as the class wants. He's got a great, laid-back attitude, and a witty sense of humor (not the bad kind). He makes the tests straightforward and as simple as you can expect out of a tough class. I recommend this guy to everyone!",Jun,2003,4.0,A,Required (Major),1,Sophomore,3.32,  Mathematics,"Van Eps, John",3.15,3.37
74,MATH 242,MATH,242,"He is a really nice guy sometimes you get lost in his lecture but if you ask he will explain so that you understand. His office hours are really helpful and he explains exactly instead of making you guess on what to do. there are two midterms, a final, and a quiz every friday. the quizzes only have like one or two problems on them. He also drops the two lowest grades. He is a really nice guy and a good professor",Nov,2004,4.0,A,Required (Major),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
75,MATH 242,MATH,242,"Dr. Van Eps is one of the best profecessors I have ever had. This was my second class with him at Cal Poly, and would take him again if I get the chance. His lectures are easy to follow and he is a big help in office hours. He doesn't collect homework, but will give a weekly quiz taken from the homework. He has two mid-terms and the final. The exams are similar to the homework and the examples done in class. Take him!!!!!",Jan,2005,3.0,B,Required (Major),3,Senior,3.32,  Mathematics,"Van Eps, John",3.15,3.37
76,HNRS 244,HNRS,244,"Great teacher, and a very easy person to get along with.  Presents the material well, and is always willing to stop in the middle of something to answer questions.  His handwriting is hard to read at first, but you get used to it quickly enough.  His tests are incredibly easy, and even though the material is confusing, he presents it well enough to make it understandable, and will always be willing to clarify anything you're unsure about.  You should definitely take him if possible.",Dec,2005,4.0,A,Required (Support),1,Sophomore,3.32,  Mathematics,"Van Eps, John",3.15,3.37
77,MATH 244,MATH,244,Didn't beat around the bush when it came to presenting material and explaining what will and will not be on the test.  Clarifying lectures and good assistance during office hours.  My most enjoyable math class yet.,Sep,2007,3.0,B,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
78,MATH 244,MATH,244,"Van Eps is one of the best math professors I have ever had. His lectures are very clear and thorough. If you pay attention and take good notes in class you will find that you will easily be able to do the assigned homework. Homework is required. However, I soon found out that he is really just trying to get the kids to stay up on the material and  homework scores really don't matter. As long as you do the homework he will write you down for full credit in his grades. His tests are very straight forward as long as you go to class. In past classes, I worked very well by just learning the material out of the text. I usually find that my notes do not help me too much. In this class whenever I had trouble on problems I could usually figure it out just based on the notes. If you ever fall behind, go to his OFFICE HOURS!!! he is very helpful and good at explaining in his office hours. He never makes you feel like you are stupid for asking questions. Sometimes I would be very behind and he would still help me with whatever. Overall great teacher and person. TAKE HIM!!!",Nov,2007,4.0,A,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
79,MATH 244,MATH,244,"Van Eps is the man! If you have to take Linear Analysis as a support course, TAKE VAN EPS. He is hands-down the most straightforward math professor I have had. He had a nice balance theory/derivations with example problems, and he cut the course down to the bare essentials needed for the majority of students taking it - Engineers. So he focused on differential equations and put less emphasis on the Linear Algebra. Needless to say, if you are a Math major/minor, you might want to take a different professor. If you're an engineering major who just wants to get this course out of the way like me, take Van Eps. The course consisted of 3 small HW assignments a week, two midterms, and a final. If you prepare sufficiently, all three tests are a piece of cake.",Jun,2012,4.0,A,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
80,MATH 244,MATH,244,"I transferred into Van Eps' Linear section that came up in open enrollment and I'm so glad I did. Van Eps is an excellent professor if you pay attention to him. You start out the first couple of classes not understanding what the point of the class is while proving simple harmonic motion and population growth on the board. It's about the third lecture when you start to understand it's about writing equations. He doesn't like giving impossible homework assignments, which is good because there's no way you can get through Linear without doing the homework. He also doesn't like giving you things that you will most likely never see again in your life. He understands that you are engineers, not math majors. Consequently, he sticks as much as he can to the concrete processes and he gives very fair and easy tests. He will work out any problem you ask him to, even if it's on a homework that you're all about to turn in. I feel like I got a better understanding of Linear from Van Eps than my friends in other sections got from their teachers. If Van Eps comes up as teaching another Linear section, take him! He will make a confusing subject completely understandable (as long as you do the homework!!)",Jun,2012,3.0,B,Required (Support),0,Freshman,3.32,  Mathematics,"Van Eps, John",3.15,3.37
81,MATH 244,MATH,244,Eps was a very boring teacher. BUT TAKE HIM! He covers much less than the other teachers and by the time the final came around I felt like I had a full chapter less to study than my roommate did for linear. ,Mar,2013,3.0,B,Required (Major),1,Sophomore,3.32,  Mathematics,"Van Eps, John",3.15,3.37
82,MATH 248,MATH,248,"Dr. VanEps wants everyone to succeed.  His grading policy reflects this.  He is approachable and helpful in his office hour.  This class requires a great memory - study hard and memorize, memorize, memorize. Tests are fair, but fill the time allotted.  Find a good study partner/group from class, you must talk this stuff over with someone.",Aug,2000,2.0,C,Required (Support),2,Junior,3.32,  Mathematics,"Van Eps, John",3.15,3.37
83,MATH 248,MATH,248,"This class is very challenging and is much different from any other math class. Van Eps realizes this and tries to help in any way he can. He gives us ""pep talks"" that this stuff takes time to learn and to just keep working at it. The only problem is staying awake in his class. ",Mar,2003,3.0,B,Required (Major),2,Junior,3.32,  Mathematics,"Van Eps, John",3.15,3.37
84,MATH 306,MATH,306,Cleary.  Obvious.  Trivial.  QED,Apr,2000,4.0,A,Required (Support),4,5th Year Senior,3.32,  Mathematics,"Van Eps, John",3.15,3.37
85,MATH 306,MATH,306,"He has two midterms and a final.  Homework is worth nothing but is collected so you can get feedback on how you're doing.  Tests come straigt from homework and lecture.  Do well on the final and that is your grade.  He is fair, clear and patient.  He welcomes questions in class as well as in office hours.  He also doesn't cram at the last minute.  He lets you leave early on some Friday's too.  I really enjoyed his class and learned alot.",Jun,2000,3.0,B,Required (Support),2,Junior,3.32,  Mathematics,"Van Eps, John",3.15,3.37
86,MATH 344,MATH,344,"prof. van eps is a great guy.  his lectures are extremely easy to follow and he will clarify any difficulties brought up by students.  he gives weekly quizzes that usually consist of one or two of the homework problems (homework isnt collected).  His midterms are much like the homework problems, very straightforward and you get to use a full sheet of notes, which makes the exams extremely easier.  the final is a little bit tougher but definitely do-able.  take van eps - dont even consider taking anyone else for this class!",Mar,2005,4.0,A,Required (Support),1,Sophomore,3.32,  Mathematics,"Van Eps, John",3.15,3.37
87,MATH 344,MATH,344,"Van Eps is the man.  As long as you put in the effort, which means attending all lectures and taking notes, he covers almost all the material you need to know in class.  He is very helpfull in office hours and will adjust classwork according to how students respond.  His tests are basically straight from hw or very similar to his quiz questions which are just hw questions.  The best part about him is that if he feels like he is getting nowhere in a lecture, or if the class seems especially confused he will take steps back in order to explain the material better.  Sometimes he will get so frustrated he'll just end lecture and start over the next day.  He is very easy going and a great guy, I would recommed him to anyone.",Aug,2005,3.0,B,Required (Support),1,Sophomore,3.32,  Mathematics,"Van Eps, John",3.15,3.37
